Longitude,Latitude,Year,Scientific.Name,Source
-170.57359324,-14.29905465,2012,Genus Tridacna,RAMP/NCRMP
-170.57352729,-14.24477132,2012,Genus Tridacna,RAMP/NCRMP
-170.57072547,-14.24628989,2015,Genus Tridacna,RAMP/NCRMP
-170.57036899,-14.29866299,2006,Genus Tridacna,RAMP/NCRMP
-170.56921347,-14.298461380000001,2010,Genus Tridacna,RAMP/NCRMP
-170.56908006,-14.27366429,2010,Genus Tridacna,RAMP/NCRMP
-170.56829202,-14.29840734,2004,Genus Tridacna,RAMP/NCRMP
-170.56729752,-14.29787226,2008,Genus Tridacna,RAMP/NCRMP
-170.5646868,-14.29800851,2010,Genus Tridacna,RAMP/NCRMP
-170.56360984,-14.29648084,2012,Genus Tridacna,RAMP/NCRMP
-170.56347251,-14.29698672,2008,Genus Tridacna,RAMP/NCRMP
-170.56324937,-14.28412937,2004,Genus Tridacna,RAMP/NCRMP
-170.56270881,-14.2696644,2004,Genus Tridacna,RAMP/NCRMP
-170.56228868,-14.2972966,2010,Genus Tridacna,RAMP/NCRMP
-170.56217746,-14.24915605,2008,Genus Tridacna,RAMP/NCRMP
-170.56216051,-14.25057789,2010,Genus Tridacna,RAMP/NCRMP
-170.56204506,-14.2510246,2008,Genus Tridacna,RAMP/NCRMP
-170.56189709,-14.25205126,2006,Genus Tridacna,RAMP/NCRMP
-170.56189577,-14.24868098,2010,Genus Tridacna,RAMP/NCRMP
-170.56175279,-14.26615931,2012,Genus Tridacna,RAMP/NCRMP
-170.56166203,-14.26592812,2004,Genus Tridacna,RAMP/NCRMP
-170.56152417,-14.24757834,2006,Genus Tridacna,RAMP/NCRMP
-170.56148742,-14.26610114,2010,Genus Tridacna,RAMP/NCRMP
-170.56146359,-14.25486,2006,Genus Tridacna,RAMP/NCRMP
-170.56129678,-14.26472467,2012,Genus Tridacna,RAMP/NCRMP
-170.56112273,-14.25370727,2004,Genus Tridacna,RAMP/NCRMP
-170.5611063,-14.26748185,2004,Genus Tridacna,RAMP/NCRMP
-170.56078766,-14.27989627,2008,Genus Tridacna,RAMP/NCRMP
-170.56077005,-14.26243148,2010,Genus Tridacna,RAMP/NCRMP
